,0,1
170,CTDC_hydrophobicity_PRAM900101.G1,571
171,CTDC_hydrophobicity_PRAM900101.G2,289
172,CTDC_hydrophobicity_PRAM900101.G3,378
173,CTDC_hydrophobicity_ARGP820101.G1,396
174,CTDC_hydrophobicity_ARGP820101.G2,583
175,CTDC_hydrophobicity_ARGP820101.G3,298
176,CTDC_hydrophobicity_ZIMJ680101.G1,276
177,CTDC_hydrophobicity_ZIMJ680101.G2,712
178,CTDC_hydrophobicity_ZIMJ680101.G3,207
179,CTDC_hydrophobicity_PONP930101.G1,520
180,CTDC_hydrophobicity_PONP930101.G2,716
181,CTDC_hydrophobicity_PONP930101.G3,174
182,CTDC_hydrophobicity_CASG920101.G1,16
183,CTDC_hydrophobicity_CASG920101.G2,1
184,CTDC_hydrophobicity_CASG920101.G3,391
185,CTDC_hydrophobicity_ENGD860101.G1,625
186,CTDC_hydrophobicity_ENGD860101.G2,141
187,CTDC_hydrophobicity_ENGD860101.G3,215
188,CTDC_hydrophobicity_FASG890101.G1,359
189,CTDC_hydrophobicity_FASG890101.G2,231
190,CTDC_hydrophobicity_FASG890101.G3,25
191,CTDC_normwaalsvolume.G1,2
192,CTDC_normwaalsvolume.G2,29
193,CTDC_normwaalsvolume.G3,359
194,CTDC_polarity.G1,178
195,CTDC_polarity.G2,184
196,CTDC_polarity.G3,796
197,CTDC_polarizability.G1,364
198,CTDC_polarizability.G2,582
199,CTDC_polarizability.G3,690
200,CTDC_charge.G1,842
201,CTDC_charge.G2,638
202,CTDC_charge.G3,438
203,CTDC_secondarystruct.G1,291
204,CTDC_secondarystruct.G2,610
205,CTDC_secondarystruct.G3,101
206,CTDC_solventaccess.G1,220
207,CTDC_solventaccess.G2,528
208,CTDC_solventaccess.G3,318
209,CTDD_hydrophobicity_PRAM900101.1.residue0,922
210,CTDD_hydrophobicity_PRAM900101.1.residue25,902
211,CTDD_hydrophobicity_PRAM900101.1.residue50,745
212,CTDD_hydrophobicity_PRAM900101.1.residue75,649
213,CTDD_hydrophobicity_PRAM900101.1.residue100,364
214,CTDD_hydrophobicity_PRAM900101.2.residue0,621
215,CTDD_hydrophobicity_PRAM900101.2.residue25,581
216,CTDD_hydrophobicity_PRAM900101.2.residue50,431
217,CTDD_hydrophobicity_PRAM900101.2.residue75,424
218,CTDD_hydrophobicity_PRAM900101.2.residue100,725
219,CTDD_hydrophobicity_PRAM900101.3.residue0,340
220,CTDD_hydrophobicity_PRAM900101.3.residue25,762
221,CTDD_hydrophobicity_PRAM900101.3.residue50,714
222,CTDD_hydrophobicity_PRAM900101.3.residue75,628
223,CTDD_hydrophobicity_PRAM900101.3.residue100,781
224,CTDD_hydrophobicity_ARGP820101.1.residue0,603
225,CTDD_hydrophobicity_ARGP820101.1.residue25,628
226,CTDD_hydrophobicity_ARGP820101.1.residue50,564
227,CTDD_hydrophobicity_ARGP820101.1.residue75,597
228,CTDD_hydrophobicity_ARGP820101.1.residue100,619
229,CTDD_hydrophobicity_ARGP820101.2.residue0,591
230,CTDD_hydrophobicity_ARGP820101.2.residue25,605
231,CTDD_hydrophobicity_ARGP820101.2.residue50,306
232,CTDD_hydrophobicity_ARGP820101.2.residue75,485
233,CTDD_hydrophobicity_ARGP820101.2.residue100,748
234,CTDD_hydrophobicity_ARGP820101.3.residue0,197
235,CTDD_hydrophobicity_ARGP820101.3.residue25,342
236,CTDD_hydrophobicity_ARGP820101.3.residue50,296
237,CTDD_hydrophobicity_ARGP820101.3.residue75,47
238,CTDD_hydrophobicity_ARGP820101.3.residue100,488
239,CTDD_hydrophobicity_ZIMJ680101.1.residue0,873
240,CTDD_hydrophobicity_ZIMJ680101.1.residue25,724
241,CTDD_hydrophobicity_ZIMJ680101.1.residue50,491
242,CTDD_hydrophobicity_ZIMJ680101.1.residue75,550
243,CTDD_hydrophobicity_ZIMJ680101.1.residue100,933
244,CTDD_hydrophobicity_ZIMJ680101.2.residue0,240
245,CTDD_hydrophobicity_ZIMJ680101.2.residue25,228
246,CTDD_hydrophobicity_ZIMJ680101.2.residue50,420
247,CTDD_hydrophobicity_ZIMJ680101.2.residue75,399
248,CTDD_hydrophobicity_ZIMJ680101.2.residue100,696
249,CTDD_hydrophobicity_ZIMJ680101.3.residue0,397
250,CTDD_hydrophobicity_ZIMJ680101.3.residue25,265
251,CTDD_hydrophobicity_ZIMJ680101.3.residue50,652
252,CTDD_hydrophobicity_ZIMJ680101.3.residue75,115
253,CTDD_hydrophobicity_ZIMJ680101.3.residue100,320
254,CTDD_hydrophobicity_PONP930101.1.residue0,739
