,0,1
215,CTDD_hydrophobicity_PRAM900101.2.residue25,610
216,CTDD_hydrophobicity_PRAM900101.2.residue50,641
217,CTDD_hydrophobicity_PRAM900101.2.residue75,630
218,CTDD_hydrophobicity_PRAM900101.2.residue100,757
219,CTDD_hydrophobicity_PRAM900101.3.residue0,748
220,CTDD_hydrophobicity_PRAM900101.3.residue25,300
221,CTDD_hydrophobicity_PRAM900101.3.residue50,875
222,CTDD_hydrophobicity_PRAM900101.3.residue75,375
223,CTDD_hydrophobicity_PRAM900101.3.residue100,935
224,CTDD_hydrophobicity_ARGP820101.1.residue0,786
225,CTDD_hydrophobicity_ARGP820101.1.residue25,451
226,CTDD_hydrophobicity_ARGP820101.1.residue50,332
227,CTDD_hydrophobicity_ARGP820101.1.residue75,308
228,CTDD_hydrophobicity_ARGP820101.1.residue100,1163
229,CTDD_hydrophobicity_ARGP820101.2.residue0,294
230,CTDD_hydrophobicity_ARGP820101.2.residue25,174
231,CTDD_hydrophobicity_ARGP820101.2.residue50,365
232,CTDD_hydrophobicity_ARGP820101.2.residue75,401
233,CTDD_hydrophobicity_ARGP820101.2.residue100,1013
234,CTDD_hydrophobicity_ARGP820101.3.residue0,667
235,CTDD_hydrophobicity_ARGP820101.3.residue25,261
236,CTDD_hydrophobicity_ARGP820101.3.residue50,187
237,CTDD_hydrophobicity_ARGP820101.3.residue75,123
238,CTDD_hydrophobicity_ARGP820101.3.residue100,844
239,CTDD_hydrophobicity_ZIMJ680101.1.residue0,778
240,CTDD_hydrophobicity_ZIMJ680101.1.residue25,789
241,CTDD_hydrophobicity_ZIMJ680101.1.residue50,484
242,CTDD_hydrophobicity_ZIMJ680101.1.residue75,448
243,CTDD_hydrophobicity_ZIMJ680101.1.residue100,411
244,CTDD_hydrophobicity_ZIMJ680101.2.residue0,265
245,CTDD_hydrophobicity_ZIMJ680101.2.residue25,396
246,CTDD_hydrophobicity_ZIMJ680101.2.residue50,662
247,CTDD_hydrophobicity_ZIMJ680101.2.residue75,416
248,CTDD_hydrophobicity_ZIMJ680101.2.residue100,358
249,CTDD_hydrophobicity_ZIMJ680101.3.residue0,733
250,CTDD_hydrophobicity_ZIMJ680101.3.residue25,420
251,CTDD_hydrophobicity_ZIMJ680101.3.residue50,228
252,CTDD_hydrophobicity_ZIMJ680101.3.residue75,535
253,CTDD_hydrophobicity_ZIMJ680101.3.residue100,680
254,CTDD_hydrophobicity_PONP930101.1.residue0,488
255,CTDD_hydrophobicity_PONP930101.1.residue25,741
256,CTDD_hydrophobicity_PONP930101.1.residue50,685
257,CTDD_hydrophobicity_PONP930101.1.residue75,628
258,CTDD_hydrophobicity_PONP930101.1.residue100,492
259,CTDD_hydrophobicity_PONP930101.2.residue0,676
260,CTDD_hydrophobicity_PONP930101.2.residue25,737
261,CTDD_hydrophobicity_PONP930101.2.residue50,209
262,CTDD_hydrophobicity_PONP930101.2.residue75,355
263,CTDD_hydrophobicity_PONP930101.2.residue100,792
264,CTDD_hydrophobicity_PONP930101.3.residue0,595
265,CTDD_hydrophobicity_PONP930101.3.residue25,619
266,CTDD_hydrophobicity_PONP930101.3.residue50,882
267,CTDD_hydrophobicity_PONP930101.3.residue75,824
268,CTDD_hydrophobicity_PONP930101.3.residue100,700
269,CTDD_hydrophobicity_CASG920101.1.residue0,506
270,CTDD_hydrophobicity_CASG920101.1.residue25,788
271,CTDD_hydrophobicity_CASG920101.1.residue50,841
272,CTDD_hydrophobicity_CASG920101.1.residue75,578
273,CTDD_hydrophobicity_CASG920101.1.residue100,553
274,CTDD_hydrophobicity_CASG920101.2.residue0,24
275,CTDD_hydrophobicity_CASG920101.2.residue25,3
276,CTDD_hydrophobicity_CASG920101.2.residue50,437
277,CTDD_hydrophobicity_CASG920101.2.residue75,749
278,CTDD_hydrophobicity_CASG920101.2.residue100,344
279,CTDD_hydrophobicity_CASG920101.3.residue0,626
280,CTDD_hydrophobicity_CASG920101.3.residue25,434
281,CTDD_hydrophobicity_CASG920101.3.residue50,818
282,CTDD_hydrophobicity_CASG920101.3.residue75,848
283,CTDD_hydrophobicity_CASG920101.3.residue100,749
284,CTDD_hydrophobicity_ENGD860101.1.residue0,523
285,CTDD_hydrophobicity_ENGD860101.1.residue25,612
286,CTDD_hydrophobicity_ENGD860101.1.residue50,463
